name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,log_mass,fall_binary,reclong_norm,country,continent,dist_equator_km,cluster
Min-Fan-Zhun,16697,Valid,LL6,5500.0,Fell,1952.0,32.33333,120.66667,"(32.33333, 120.66667)",8.612685172875459,1,120.66667,China,Asia,3599.3462955999994,5
Minnichhof,16700,Valid,OC,550.0,Fell,1905.0,47.7,16.6,"(47.7, 16.6)",6.311734809152915,1,16.599999999999994,Hungary,Europe,5309.964,8
Mirzapur,16701,Valid,L5,8510.0,Fell,1910.0,25.68333,83.25,"(25.68333, 83.25)",9.04911472347696,1,83.25,India,Asia,2859.0682956,5
Misshof,16703,Valid,H5,5800.0,Fell,1890.0,56.66667,23.0,"(56.66667, 23.0)",8.665785595466064,1,23.0,Latvia,Europe,6308.1337044,2
Mjelleim,16707,Valid,H,100.7,Fell,1898.0,61.73333,5.93333,"(61.73333, 5.93333)",4.622027303054514,1,5.933330000000012,Norway,Europe,6872.154295599999,1
Mocs,16709,Valid,L5-6,300000.0,Fell,1882.0,46.8,24.03333,"(46.8, 24.03333)",12.611541086966117,1,24.033330000000007,Romania,Europe,5209.775999999999,4
Modoc (1905),16711,Valid,L6,35000.0,Fell,1905.0,38.5,-101.1,"(38.5, -101.1)",10.463131911491969,1,-101.1,United States of America,North America,4285.82,0
Mokoia,16713,Valid,CV3,4500.0,Fell,1908.0,-39.63333,174.4,"(-39.63333, 174.4)",8.412054873292933,1,174.39999999999998,New Zealand,Oceania,4411.9822956,7
Molina,16715,Valid,H5,144000.0,Fell,1858.0,38.11667,-1.16667,"(38.11667, -1.16667)",11.87757552297847,1,-1.1666700000000103,Spain,Europe,4243.147704399999,4
Molteno,16717,Valid,Howardite,150.0,Fell,1953.0,-31.25,26.46667,"(-31.25, 26.46667)",5.017279836814924,1,26.466669999999997,South Africa,Africa,3478.75,7
Monahans (1998),16719,Valid,H5,2587.0,Fell,1998.0,31.60833,-102.85833,"(31.60833, -102.85833)",7.858640655620791,1,-102.85833,United States of America,North America,3518.6392955999995,3
Monroe,16720,Valid,H4,8600.0,Fell,1849.0,35.25,-80.5,"(35.25, -80.5)",9.05963375455148,1,-80.5,United States of America,North America,3924.03,0
Monte das Fortes,16725,Valid,L5,4885.0,Fell,1950.0,38.01667,-8.25,"(38.01667, -8.25)",8.494129251817686,1,-8.25,Portugal,Europe,4232.0157044,8
Monte Milone,16726,Valid,L5,3130.0,Fell,1846.0,43.26667,13.35,"(43.26667, 13.35)",8.049107721326406,1,13.349999999999994,Italy,Europe,4816.445704399999,2
Montferré,16727,Valid,H5,149000.0,Fell,1923.0,43.39056,1.9625,"(43.39056, 1.9625)",11.91170829631447,1,1.9625000000000057,France,Europe,4830.2371392,4
Montlivault,16729,Valid,L6,500.0,Fell,1838.0,47.63333,1.58333,"(47.63333, 1.58333)",6.2166061010848646,1,1.5833299999999897,France,Europe,5302.5422956,2
Moore County,16736,Valid,Eucrite-cm,1880.0,Fell,1913.0,35.41667,-79.38333,"(35.41667, -79.38333)",7.53955882930103,1,-79.38333,United States of America,North America,3942.5837044,3
Mooresfort,16737,Valid,H5,3520.0,Fell,1810.0,52.45,-8.33333,"(52.45, -8.33333)",8.166500319155052,1,-8.33332999999999,Ireland,Europe,5838.734,2
Moorleah,16738,Valid,L6,8887.5,Fell,1930.0,-40.975,145.6,"(-40.975, 145.6)",9.09251358536274,1,145.60000000000002,Australia,Oceania,4561.337,7
Moradabad,16740,Valid,L6,70.0,Fell,1808.0,28.78333,78.83333,"(28.78333, 78.83333)",4.262679877041316,1,78.83332999999999,India,Asia,3204.1602956,1
Morávka,16742,Valid,H5,633.0,Fell,2000.0,49.6,18.53333,"(49.6, 18.53333)",6.452048954437226,1,18.533330000000007,Czechia,Europe,5521.472,8
Mornans,16747,Valid,H5,1300.0,Fell,1875.0,44.6,5.13333,"(44.6, 5.13333)",7.170888478512505,1,5.133330000000001,France,Europe,4964.872,2
Moss,36592,Valid,CO3.6,3763.0,Fell,2006.0,59.43333,10.7,"(59.43333, 10.7)",8.23323750070527,1,10.699999999999989,Norway,Europe,6616.118295599999,8
Moti-ka-nagla,16759,Valid,H6,1500.0,Fell,1868.0,26.83333,77.33333,"(26.83333, 77.33333)",7.313886831633462,1,77.33332999999999,India,Asia,2987.0862956,5
Motta di Conti,16762,Valid,H4,9150.0,Fell,1868.0,45.2,8.5,"(45.2, 8.5)",9.12161844191538,1,8.5,Italy,Europe,5031.664,2
Mount Browne,16766,Valid,H6,11300.0,Fell,1902.0,-29.8,141.7,"(-29.8, 141.7)",9.332646496360152,1,141.7,Australia,Oceania,3317.336,7
