name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,log_mass,fall_binary,reclong_norm,country,continent,dist_equator_km,cluster
Mincy,16694,Valid,Mesosiderite-B4,89400.0,Found,1857.0,36.55,-93.1,"(36.55, -93.1)",11.400887146781372,0,-93.1,United States of America,North America,4068.746,2
Mission,16704,Valid,L,12000.0,Found,1949.0,43.31667,-100.76667,"(43.31667, -100.76667)",9.39274525863144,0,-100.76667,United States of America,North America,4822.0117044,2
Misteca,16705,Valid,"Iron, ungrouped",10000.0,Found,1804.0,16.8,-97.1,"(16.8, -97.1)",9.210440366976515,0,-97.1,Mexico,North America,1870.176,2
Moama,16708,Valid,Eucrite-cm,3416.0,Found,1940.0,-35.95,144.51667,"(-35.95, 144.51667)",8.136518252115291,0,144.51666999999998,Australia,Oceania,4001.954,1
Moctezuma,16710,Valid,"Iron, IAB-sLL",1700.0,Found,1889.0,29.8,-109.66667,"(29.8, -109.66667)",7.438971592395862,0,-109.66667,Mexico,North America,3317.336,2
Modoc (1948),16712,Valid,H6,1800.0,Found,1948.0,38.5,-101.1,"(38.5, -101.1)",7.496097345175956,0,-101.1,United States of America,North America,4285.82,2
Molong,16716,Valid,"Pallasite, PMG",104000.0,Found,1912.0,-33.28333,148.88333,"(-33.28333, 148.88333)",11.552155793461898,0,148.88333,Australia,Oceania,3705.1002956,1
Monahans (1938),16718,Valid,"Iron, IIF",27900.0,Found,1938.0,31.48333,-102.88333,"(31.48333, -102.88333)",10.236417809461043,0,-102.88333,United States of America,North America,3504.7242956,2
Moonbi,16734,Valid,"Iron, IIIF",13200.0,Found,1892.0,-30.91667,151.28333,"(-30.91667, 151.28333)",9.48804786328076,0,151.28332999999998,Australia,Oceania,3441.6437044,1
Moorumbunna,16739,Valid,"Iron, IIIAB",77000.0,Found,1943.0,-28.91667,136.25,"(-28.91667, 136.25)",11.251573687764475,0,136.25,Australia,Oceania,3219.0037044,1
Morasko,16741,Valid,"Iron, IAB-MG",290000.0,Found,1914.0,52.46667,16.9,"(52.46667, 16.9)",12.577639650232571,0,16.900000000000006,Poland,Europe,5840.589704399999,0
Morden,16743,Valid,"Iron, IAB?",2426.0,Found,1922.0,-30.5,142.33333,"(-30.5, 142.33333)",7.794411205726601,0,142.33333,Australia,Oceania,3395.26,1
Morito,16745,Valid,"Iron, IIIAB",10100000.0,Found,1600.0,27.05,-105.43333,"(27.05, -105.43333)",16.128046080821385,0,-105.43333,Mexico,North America,3011.206,3
Morland,16746,Valid,H6,295000.0,Found,1890.0,39.33333,-100.06667,"(39.33333, -100.06667)",12.59473402514672,0,-100.06667,United States of America,North America,4378.586295599999,2
Morradal,16748,Valid,"Iron, ungrouped",2750.0,Found,1892.0,62.0,7.66667,"(62.0, 7.66667)",7.919719760924575,0,7.66667000000001,Norway,Europe,6901.839999999999,0
Morrill,16749,Valid,"Iron, IAB-an",1387.0,Found,1920.0,42.18333,-103.93333,"(42.18333, -103.93333)",7.23561914106675,0,-103.93333,United States of America,North America,4695.8482956,2
Morristown,16750,Valid,Mesosiderite-A3,16300.0,Found,1887.0,36.2,-83.38333,"(36.2, -83.38333)",9.69898173460629,0,-83.38333,United States of America,North America,4029.784,2
Morro do Rocio,16751,Valid,H5,369.0,Found,1928.0,-27.0,-51.0,"(-27.0, -51.0)",5.91350300563827,0,-51.0,Brazil,South America,3005.64,1
Morven,16754,Valid,H4/5,7100.0,Found,1925.0,-44.81667,171.13333,"(-44.81667, 171.13333)",8.867990898182093,0,171.13333,New Zealand,Oceania,4988.9917044,1
Mosca,16755,Valid,L6,6220.0,Found,1942.0,37.63333,-105.83333,"(37.63333, -105.83333)",8.73568594451502,0,-105.83333,United States of America,North America,4189.3422956,2
Mount Ayliff,16763,Valid,"Iron, IAB-MG",13600.0,Found,1907.0,-30.81667,29.35,"(-30.81667, 29.35)",9.517898598432753,0,29.349999999999994,South Africa,Africa,3430.5117043999994,1
Mount Dooling,16771,Valid,"Iron, IC",734000.0,Found,1909.0,-29.45,119.71667,"(-29.45, 119.71667)",13.506265669993544,0,119.71667000000002,Australia,Oceania,3278.374,1
Mount Dyrring,16772,Valid,Pallasite,11300.0,Found,1903.0,-32.33333,151.2,"(-32.33333, 151.2)",9.332646496360152,0,151.2,Australia,Oceania,3599.3462955999994,1
Mount Edith,16773,Valid,"Iron, IIIAB",326000.0,Found,1913.0,-22.5,116.16667,"(-22.5, 116.16667)",12.694655727828804,0,116.16667,Australia,Oceania,2504.7,1
Mount Egerton,16774,Valid,Aubrite-an,22000.0,Found,1941.0,-24.76667,117.7,"(-24.76667, 117.7)",9.99884318585288,0,117.7,Australia,Oceania,2757.0257044,1
Mount Joy,16779,Valid,"Iron, IIAB",384000.0,Found,1887.0,39.78333,-77.21667,"(39.78333, -77.21667)",12.85840043573314,0,-77.21667,United States of America,North America,4428.680295599999,2
